yyyymm;veh_f_all;veh_s_all;veh_u_all;veh_r_all;vehrn_lp_all;vehrn_biap_all;vehrn_lr_all;vehrn_biar_all;vehrn_gt_all;vehrn_mpg_all;vehrn_hp_all;vehrn_hr_all;vehrn_tb_all;vehrn_fb_all;vehrn_gas_all;vehrn_sel_all
201302;60;6;34;126;32;3;22;0;5;3;16;5;12;5;4;3
201303;62;6;32;130;32;6;23;0;6;6;15;4;12;5;2;3
201304;62;7;31;131;26;5;25;1;9;4;14;5;11;6;2;3
201305;70;5;25;145;34;5;29;0;8;5;9;4;9;5;2;3
201306;65;6;29;136;29;4;27;2;10;5;13;4;11;4;2;3
201307;66;9;25;141;34;6;29;1;7;4;11;4;7;4;2;3
201308;62;7;31;131;34;4;25;2;6;3;14;5;9;6;2;2
201309;60;6;34;126;25;4;25;2;8;4;14;7;11;7;0;2
201310;65;6;29;136;29;6;25;2;8;4;11;5;11;8;1;1
201311;57;6;37;120;23;5;18;2;8;4;13;6;13;10;2;3
201312;65;6;29;136;29;5;24;3;7;5;13;6;9;7;0;3
201401;68;6;26;142;32;5;26;3;10;6;12;4;9;7;0;1
201402;65;8;27;138;32;4;26;1;7;5;14;4;10;5;1;2
201403;61;10;29;132;29;4;20;1;6;4;11;6;11;6;1;3
201404;64;6;30;134;28;6;20;1;9;8;12;6;11;5;2;6
201405;62;7;31;131;27;7;19;1;10;5;17;4;9;6;3;4
201406;61;8;31;130;31;6;20;2;7;3;15;4;7;5;3;5
201407;64;7;29;135;28;6;23;1;10;4;14;6;5;5;2;8
201408;62;7;31;131;27;7;26;1;9;3;15;6;10;4;1;4
201409;65;6;29;136;31;5;24;1;9;3;14;3;11;4;1;4
201410;69;7;24;145;34;3;22;1;8;5;11;5;8;5;1;3
201411;70;6;24;146;31;6;24;2;10;5;13;2;5;5;1;4
201412;68;5;27;141;30;5;25;2;11;4;13;6;7;5;0;4
201501;74;3;23;151;30;4;27;2;13;5;11;2;7;2;2;4
201502;69;5;26;143;32;5;23;1;13;3;15;4;7;5;1;2
201503;66;7;27;139;27;6;24;2;12;5;14;5;8;3;1;4
201504;71;4;25;146;26;6;26;3;12;3;14;5;6;3;1;4
201505;65;8;27;138;24;4;22;2;11;4;15;3;7;5;1;5
201506;69;7;24;145;25;6;28;2;13;4;14;2;6;4;1;4
201507;70;5;25;145;30;4;26;2;12;3;15;3;7;3;1;3
201508;66;7;27;139;25;5;26;2;11;3;15;4;9;4;2;3
201509;65;6;29;136;25;4;25;2;11;5;15;4;6;4;1;7
201510;68;4;28;140;29;5;24;2;8;2;15;5;7;4;1;5
201511;70;7;23;147;27;3;28;2;10;3;14;4;6;3;0;3
201512;69;3;28;141;29;5;28;3;9;3;13;5;7;3;2;4
201601;73;6;21;152;28;6;26;4;10;3;9;4;5;4;0;2
201602;71;6;23;148;33;2;27;2;8;2;10;4;6;5;1;3
201603;69;7;24;145;21;8;25;2;11;3;12;5;6;6;1;3
201604;69;5;26;143;26;6;26;2;9;3;13;5;6;4;1;4
201605;74;4;22;152;28;6;29;3;12;3;13;2;4;3;2;4
201606;70;5;25;145;27;5;26;3;12;2;14;5;4;4;0;4
201607;71;6;23;148;28;6;30;1;9;2;13;3;5;6;0;2
201608;68;4;28;140;26;4;28;1;11;3;17;4;6;5;0;2
201609;65;5;30;135;20;5;25;2;11;2;14;3;5;5;1;4
201610;64;7;29;135;22;4;24;2;9;3;13;5;7;4;2;3
201611;67;7;26;141;23;4;24;2;12;2;14;4;5;4;1;2
201612;65;7;28;137;25;5;21;4;13;1;12;6;6;5;1;3
201701;71;5;24;147;23;8;18;3;16;3;11;5;4;5;1;3
201702;70;5;25;145;25;8;18;2;15;2;14;4;2;5;1;2
201703;71;5;24;147;23;9;20;5;16;2;12;5;4;5;0;2
201704;73;6;21;152;24;8;21;4;15;3;13;3;3;3;0;1
201705;65;5;30;135;29;5;17;3;11;3;16;4;5;6;0;2
201706;67;7;26;141;28;6;21;2;12;3;16;5;4;4;1;3
201707;65;7;28;137;27;5;20;2;11;3;16;4;4;4;0;5
201708;67;5;28;139;26;5;23;2;13;3;15;4;6;4;0;4
201709;66;4;30;136;25;6;18;2;16;2;15;5;5;4;2;2
201710;72;5;23;149;27;5;21;4;13;3;12;3;5;3;1;3
201711;70;5;25;145;28;5;20;1;14;3;14;4;3;4;0;4
201712;70;5;25;145;28;6;20;4;16;2;12;5;3;4;1;2
201801;66;8;26;140;26;5;18;3;14;2;14;4;5;5;1;4
201802;67;4;29;138;24;6;18;5;16;1;18;6;3;3;0;3
201803;67;5;28;139;21;12;18;3;15;1;16;4;3;3;1;3
