Date,h=1,h=3,h=12
3/2007,0.662244653,0.795231441,0.91143818
4/2007,0.65312178,0.787670485,0.909376198
5/2007,0.640112259,0.779810676,0.909590447
6/2007,0.642386563,0.784307643,0.915548164
7/2007,0.653934376,0.79720447,0.924794766
8/2007,0.675665316,0.818651024,0.938425583
9/2007,0.687598573,0.830574105,0.945991954
10/2007,0.696548279,0.840374684,0.954206937
11/2007,0.714501489,0.860435569,0.968568432
12/2007,0.72490778,0.872303281,0.978911198
1/2008,0.726530931,0.87698231,0.985819338
2/2008,0.736680848,0.887018945,0.993455036
3/2008,0.743430848,0.893113945,0.997705894
4/2008,0.767774248,0.911999423,1.005528556
5/2008,0.801493297,0.939007848,1.018288125
6/2008,0.831939983,0.972683935,1.035206351
7/2008,0.871899861,1.015078763,1.05769714
8/2008,0.929530185,1.078008264,1.090604063
9/2008,0.997455253,1.144631402,1.120563842
10/2008,1.062954948,1.212633071,1.150983611
11/2008,1.056553672,1.214464407,1.152551876
12/2008,1.038251339,1.200715591,1.145775478
1/2009,1.027696901,1.181707638,1.133797977
2/2009,0.987838452,1.143366966,1.113621522
3/2009,0.944337176,1.10145292,1.094538947
4/2009,0.914399106,1.066421677,1.07411875
5/2009,0.89462665,1.041031228,1.058219373
6/2009,0.877124675,1.021683463,1.044315182
7/2009,0.853698777,0.994484753,1.027787989
8/2009,0.815354715,0.95740589,1.00774346
9/2009,0.78453286,0.925907216,0.990016936
10/2009,0.765445272,0.904582926,0.976550885
11/2009,0.753071957,0.88896685,0.966324216
12/2009,0.748043518,0.881337415,0.960974323
1/2010,0.74805741,0.878774572,0.958234837
2/2010,0.73978459,0.872023109,0.955024378
3/2010,0.728618471,0.859282888,0.949320639
4/2010,0.713830039,0.843082178,0.9427594
5/2010,0.7064955,0.834901993,0.939739875
6/2010,0.678933204,0.813840124,0.930806961
7/2010,0.662691317,0.798762307,0.920920784
8/2010,0.65000642,0.786861664,0.912946025
9/2010,0.641563299,0.778929943,0.908280597
10/2010,0.638855247,0.776696354,0.907748679
11/2010,0.634985264,0.771074893,0.90454942
12/2010,0.647447214,0.776207655,0.905768589
1/2011,0.648846214,0.776658727,0.903959348
2/2011,0.655205302,0.782674892,0.906312624
3/2011,0.655562309,0.783661248,0.906702026
4/2011,0.657139924,0.784332167,0.90591973
5/2011,0.651552524,0.783441855,0.90729064
6/2011,0.650459706,0.783808775,0.907180575
7/2011,0.656530337,0.790205858,0.909757463
8/2011,0.66043114,0.795470173,0.913747983
9/2011,0.652216437,0.78842389,0.910438454
10/2011,0.644819365,0.781346356,0.906416701
11/2011,0.633408288,0.770427654,0.900881717
12/2011,0.624747336,0.761515188,0.894456594
1/2012,0.617459474,0.754277993,0.889407251
2/2012,0.60475288,0.7433165,0.883945037
3/2012,0.602430606,0.740315351,0.881291628
4/2012,0.596174226,0.735655196,0.879098842
5/2012,0.598054221,0.738413569,0.880259565
6/2012,0.59883171,0.738679996,0.879750911
7/2012,0.603862678,0.743121491,0.881369617
8/2012,0.611577263,0.750755947,0.883443572
9/2012,0.611562079,0.74831338,0.880790911
10/2012,0.612989474,0.746713631,0.878141042
11/2012,0.62443993,0.752000159,0.87782428
12/2012,0.634322593,0.754834852,0.878185896
1/2013,0.630774009,0.755289574,0.881161422
2/2013,0.619723332,0.754291645,0.884023434
3/2013,0.608963689,0.748686694,0.883402434
4/2013,0.587719701,0.728180204,0.875229642
5/2013,0.578958107,0.717072782,0.869801333
6/2013,0.571211991,0.708746925,0.866244899
7/2013,0.576467478,0.709305971,0.865246391
8/2013,0.567402503,0.702137576,0.862341964
