Date,h=1,h=3,h=12
6/1996,0.780530409,0.844281332,0.944723691
7/1996,0.813584223,0.871447706,0.955191238
8/1996,0.807117846,0.867469059,0.955467435
9/1996,0.79539281,0.859817689,0.955098418
10/1996,0.794689464,0.860337492,0.956813533
11/1996,0.802776931,0.867838668,0.960790418
12/1996,0.802446106,0.868058427,0.961752686
1/1997,0.814217471,0.877739945,0.965596511
2/1997,0.828885356,0.889899006,0.97028304
3/1997,0.852440933,0.908968071,0.977016199
4/1997,0.867962608,0.921565947,0.981425444
5/1997,0.897258168,0.944282203,0.988510868
6/1997,0.892376532,0.941462425,0.98881975
7/1997,0.900573434,0.948962414,0.992655934
8/1997,0.90364591,0.951612415,0.993800089
9/1997,0.916410074,0.961058872,0.996420033
10/1997,0.912460125,0.958502561,0.996319695
11/1997,0.89757708,0.947088334,0.99306879
12/1997,0.898417241,0.947649434,0.993382871
1/1998,0.912185942,0.958305314,0.996744123
2/1998,0.940153564,0.980273492,1.003900171
3/1998,0.947316674,0.986584106,1.006691418
4/1998,0.970373567,1.004964861,1.013056881
5/1998,1.0199842,1.043341984,1.025233563
6/1998,1.080054253,1.089410293,1.039920637
7/1998,1.175031226,1.159245329,1.060253863
8/1998,1.275600482,1.232143388,1.081476407
9/1998,1.191696085,1.174270352,1.067827
10/1998,1.124510946,1.126021297,1.055348196
11/1998,1.079073001,1.091857872,1.045471264
12/1998,1.051146703,1.070129309,1.038664715
1/1999,1.037712467,1.058649268,1.034176799
2/1999,1.039594449,1.058472852,1.032879522
3/1999,1.025717213,1.048518593,1.030310475
4/1999,1.031210086,1.052213189,1.031256555
5/1999,1.00791534,1.035328242,1.027408039
6/1999,1.002462618,1.032526201,1.027854023
7/1999,0.998982408,1.031105466,1.028740987
8/1999,1.008417185,1.038999678,1.031718911
9/1999,1.026313915,1.053842971,1.037233152
10/1999,1.053159161,1.075101198,1.044496909
11/1999,1.092541222,1.104804366,1.053199428
12/1999,1.141566905,1.141190787,1.063669691
1/2000,1.187820984,1.174774634,1.072629509
2/2000,1.241869108,1.212009708,1.081562938
3/2000,1.240419478,1.212207194,1.08238108
4/2000,1.211793686,1.191438731,1.076804881
5/2000,1.187198085,1.173154299,1.071924078
6/2000,1.174083522,1.164008999,1.069807309
7/2000,1.143048391,1.143199775,1.065576284
8/2000,1.134849137,1.13811784,1.065099733
9/2000,1.126639708,1.132607493,1.063961376
10/2000,1.130686941,1.135928384,1.064945129
11/2000,1.151500288,1.151241037,1.069241617
12/2000,1.163202053,1.158745633,1.070337427
1/2001,1.151684102,1.150064702,1.067978328
2/2001,1.127645442,1.132969824,1.0638921
3/2001,1.102265567,1.113581253,1.057927933
4/2001,1.088322552,1.102665236,1.054143771
5/2001,1.072805783,1.090063599,1.04927597
6/2001,1.074278896,1.090541368,1.048511468
7/2001,1.094279711,1.104899525,1.051740171
8/2001,1.129309152,1.130363968,1.05836434
9/2001,1.188299805,1.171092917,1.067839607
10/2001,1.140258985,1.136743912,1.058644187
11/2001,1.09934476,1.106357447,1.050142019
12/2001,1.061541459,1.077953399,1.041421354
1/2002,1.042409453,1.063347627,1.036696845
2/2002,1.041765833,1.062344383,1.035677377
3/2002,1.057313656,1.073355842,1.038162553
4/2002,1.065688785,1.080529623,1.040908146
5/2002,1.090249146,1.098652329,1.045638147
6/2002,1.140870452,1.135864167,1.056020609
7/2002,1.195209338,1.1740104,1.065177343
8/2002,1.159802424,1.150016334,1.059689445
9/2002,1.163751612,1.153393624,1.060858248
10/2002,1.114137122,1.116823921,1.050185966
11/2002,1.079493035,1.089094829,1.040306173
12/2002,1.040176071,1.058321,1.029952107
1/2003,0.993651699,1.022138229,1.017866004
2/2003,0.967177357,1.0006973,1.009933004
3/2003,0.954631793,0.989895827,1.005085134
4/2003,0.967142905,0.997653366,1.005338398
5/2003,0.948833661,0.982483236,0.999074094
6/2003,0.902839031,0.946527288,0.986684664
7/2003,0.882482588,0.929389484,0.979587586
8/2003,0.861116178,0.911852987,0.972706335
9/2003,0.849679275,0.901799922,0.968017211
10/2003,0.849799041,0.900833685,0.96637614
11/2003,0.808720436,0.868686561,0.955677158
12/2003,0.788008076,0.852024955,0.949699515
1/2004,0.768860549,0.835818921,0.942883106
2/2004,0.754096599,0.823709719,0.93815913
3/2004,0.751838014,0.82140579,0.936559333
4/2004,0.76189737,0.828756947,0.937952755
5/2004,0.756868419,0.824597976,0.936125864
6/2004,0.766257537,0.831853302,0.93779922
7/2004,0.785533924,0.846721464,0.941978645
8/2004,0.767974781,0.832710567,0.937123597
9/2004,0.766703278,0.831067179,0.935597465
10/2004,0.771775717,0.833964415,0.935768604
11/2004,0.794931697,0.848989304,0.939240185
12/2004,0.776358792,0.836851367,0.935829776
1/2005,0.773320916,0.834728627,0.934780768
2/2005,0.767901567,0.830418909,0.932955273
3/2005,0.769983421,0.832230936,0.933041801
4/2005,0.77769512,0.837947934,0.934217516
5/2005,0.768277133,0.830844181,0.932057142
6/2005,0.74962591,0.816191565,0.927362807
7/2005,0.744581697,0.811900448,0.925647043
8/2005,0.730360229,0.800358388,0.921740454
9/2005,0.72195365,0.793230949,0.919093745
10/2005,0.726415767,0.796159734,0.919669184
11/2005,0.727294786,0.794880187,0.918432335
12/2005,0.719004798,0.788449262,0.915418614
1/2006,0.726911741,0.793853439,0.916044556
2/2006,0.710314053,0.78050024,0.911674107
3/2006,0.701481029,0.774152557,0.910053808
4/2006,0.6955755,0.770051202,0.909510914
5/2006,0.701672297,0.775239852,0.911813517
6/2006,0.683994838,0.761744529,0.907939127
7/2006,0.680661051,0.759468095,0.907720098
8/2006,0.664335209,0.746549439,0.904010433
